region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
15.0,1.0,57.0,4.0,22.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,57.0,4.0,22.0,340000.0,340000.0,48.0,2.0,2.0
15.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,90.0,3.0,25.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,52.0,2.0,29.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,62.0,2.0,39.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,21.0,0.0,0.0,220000.0,220000.0,36.0,2.0,3.0
15.0,1.0,32.0,2.0,25.0,1400000.0,1400000.0,84.0,2.0,3.0
15.0,2.0,38.0,2.0,28.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,64.0,3.0,24.0,450000.0,450000.0,45.0,2.0,3.0
15.0,2.0,64.0,3.0,24.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,39.0,1.0,27.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,37.0,2.0,25.0,430000.0,430000.0,72.0,2.0,3.0
15.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,47.0,3.0,24.0,1200000.0,1200000.0,44.0,2.0,3.0
15.0,2.0,32.0,3.0,19.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,62.0,7.0,18.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,38.0,2.0,26.0,500000.0,500000.0,45.0,2.0,3.0
15.0,2.0,39.0,1.0,33.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,53.0,3.0,21.0,370000.0,370000.0,46.0,2.0,3.0
15.0,1.0,51.0,3.0,23.0,370000.0,370000.0,84.0,2.0,3.0
15.0,1.0,51.0,1.0,27.0,3500000.0,3500000.0,44.0,1.0,4.0
15.0,2.0,53.0,1.0,30.0,1200000.0,1200000.0,40.0,2.0,4.0
15.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,51.0,3.0,25.0,286000.0,286000.0,40.0,2.0,1.0
15.0,2.0,50.0,3.0,24.0,320000.0,320000.0,45.0,2.0,3.0
15.0,1.0,23.0,99.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,12.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,47.0,2.0,20.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,55.0,2.0,28.0,1200000.0,1200000.0,84.0,2.0,3.0
15.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,40.0,2.0,20.0,450000.0,450000.0,48.0,2.0,3.0
15.0,2.0,20.0,1.0,19.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,40.0,0.0,0.0,1200000.0,1200000.0,84.0,2.0,3.0
15.0,1.0,83.0,1.0,99.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,71.0,2.0,21.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,44.0,0.0,0.0,500000.0,500000.0,45.0,2.0,3.0
15.0,1.0,41.0,0.0,0.0,200000.0,200000.0,20.0,2.0,3.0
15.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,57.0,0.0,0.0,300000.0,300000.0,40.0,2.0,2.0
15.0,2.0,25.0,2.0,21.0,300000.0,300000.0,44.0,2.0,2.0
15.0,1.0,52.0,3.0,24.0,580000.0,580000.0,60.0,2.0,2.0
15.0,2.0,50.0,3.0,22.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,70.0,3.0,23.0,180000.0,180000.0,60.0,2.0,2.0
15.0,1.0,47.0,2.0,22.0,1500000.0,1500000.0,60.0,2.0,3.0
15.0,2.0,47.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,24.0,1.0,23.0,600000.0,600000.0,30.0,2.0,3.0
15.0,1.0,25.0,0.0,0.0,200000.0,200000.0,40.0,2.0,3.0
15.0,2.0,23.0,0.0,0.0,200000.0,200000.0,40.0,2.0,3.0
15.0,1.0,35.0,2.0,33.0,480000.0,480000.0,45.0,2.0,3.0
15.0,2.0,33.0,2.0,30.0,525000.0,525000.0,45.0,2.0,3.0
15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,71.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,81.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,37.0,1.0,35.0,350000.0,350000.0,49.0,2.0,2.0
15.0,2.0,27.0,2.0,17.0,100000.0,100000.0,25.0,2.0,2.0
15.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,33.0,2.0,24.0,500000.0,500000.0,60.0,2.0,3.0
15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,42.0,0.0,0.0,1800000.0,1800000.0,84.0,2.0,3.0
15.0,2.0,34.0,0.0,0.0,278333.0,278333.0,45.0,1.0,2.0
15.0,2.0,42.0,1.0,23.0,450000.0,450000.0,45.0,2.0,3.0
15.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,38.0,3.0,19.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,78.0,4.0,99.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,77.0,4.0,99.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,84.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,73.0,1.0,17.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,55.0,0.0,0.0,230000.0,230000.0,45.0,2.0,2.0
15.0,1.0,70.0,4.0,29.0,250000.0,250000.0,50.0,2.0,1.0
15.0,2.0,66.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,38.0,2.0,23.0,600000.0,600000.0,84.0,2.0,3.0
15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,77.0,3.0,27.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,50.0,0.0,0.0,270000.0,270000.0,45.0,2.0,2.0
15.0,2.0,49.0,2.0,30.0,100000.0,100000.0,20.0,2.0,1.0
15.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,41.0,0.0,0.0,300000.0,300000.0,45.0,2.0,1.0
15.0,2.0,68.0,1.0,30.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,64.0,2.0,24.0,250000.0,250000.0,45.0,2.0,1.0
15.0,2.0,62.0,2.0,22.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,45.0,1.0,30.0,500000.0,500000.0,45.0,2.0,3.0
15.0,2.0,44.0,2.0,22.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,38.0,2.0,20.0,200000.0,200000.0,35.0,2.0,3.0
15.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,53.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,58.0,2.0,25.0,210000.0,210000.0,45.0,2.0,2.0
15.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,51.0,1.0,19.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,52.0,4.0,20.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,40.0,4.0,18.0,400000.0,400000.0,30.0,2.0,2.0
15.0,2.0,28.0,3.0,19.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,55.0,2.0,18.0,150000.0,150000.0,56.0,2.0,2.0
15.0,1.0,63.0,4.0,23.0,100000.0,100000.0,56.0,2.0,1.0
15.0,1.0,31.0,1.0,26.0,276000.0,276000.0,40.0,2.0,2.0
15.0,2.0,31.0,2.0,18.0,120000.0,120000.0,30.0,2.0,2.0
15.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,36.0,1.0,21.0,150000.0,150000.0,32.0,2.0,2.0
15.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,72.0,3.0,23.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,74.0,3.0,19.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,53.0,1.0,25.0,260000.0,260000.0,40.0,2.0,1.0
15.0,2.0,53.0,0.0,0.0,260000.0,260000.0,40.0,2.0,1.0
15.0,1.0,45.0,3.0,19.0,300000.0,300000.0,60.0,2.0,2.0
15.0,1.0,43.0,2.0,23.0,500000.0,500000.0,60.0,2.0,2.0
15.0,2.0,43.0,2.0,21.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,23.0,1.0,21.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,36.0,3.0,20.0,80000.0,80000.0,40.0,2.0,2.0
15.0,2.0,34.0,3.0,17.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,56.0,6.0,20.0,350000.0,350000.0,72.0,2.0,2.0
15.0,2.0,49.0,5.0,15.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,42.0,3.0,23.0,500000.0,500000.0,45.0,2.0,3.0
15.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,53.0,2.0,34.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,53.0,2.0,34.0,270000.0,270000.0,40.0,2.0,1.0
15.0,2.0,29.0,1.0,19.0,270000.0,270000.0,48.0,2.0,2.0
15.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,42.0,1.0,23.0,300000.0,300000.0,48.0,2.0,2.0
15.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,38.0,3.0,16.0,500000.0,500000.0,45.0,2.0,2.0
15.0,1.0,40.0,0.0,0.0,1000000.0,1000000.0,45.0,2.0,3.0
15.0,2.0,42.0,1.0,23.0,800000.0,800000.0,45.0,2.0,3.0
15.0,2.0,51.0,2.0,21.0,200000.0,200000.0,45.0,2.0,2.0
15.0,1.0,25.0,0.0,0.0,200000.0,200000.0,10.0,2.0,2.0
15.0,1.0,53.0,2.0,23.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,52.0,2.0,22.0,350000.0,350000.0,48.0,2.0,3.0
15.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,63.0,2.0,32.0,300000.0,300000.0,40.0,2.0,2.0
15.0,2.0,53.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,27.0,1.0,22.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,37.0,3.0,19.0,120000.0,120000.0,20.0,2.0,2.0
15.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,52.0,2.0,40.0,400000.0,400000.0,42.0,2.0,2.0
15.0,2.0,40.0,2.0,38.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,72.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,75.0,2.0,24.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,55.0,1.0,33.0,2000000.0,2000000.0,20.0,1.0,3.0
15.0,2.0,52.0,1.0,30.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,36.0,0.0,0.0,1500000.0,1500000.0,30.0,2.0,3.0
15.0,2.0,39.0,0.0,0.0,2300000.0,2300000.0,30.0,2.0,3.0
15.0,2.0,95.0,7.0,19.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,75.0,6.0,18.0,150000.0,150000.0,28.0,2.0,2.0
15.0,2.0,70.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,35.0,3.0,15.0,600000.0,600000.0,45.0,2.0,2.0
15.0,2.0,25.0,1.0,16.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,87.0,2.0,22.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,53.0,0.0,0.0,232857.0,232857.0,44.0,2.0,2.0
15.0,1.0,40.0,0.0,0.0,950000.0,950000.0,45.0,2.0,3.0
15.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,29.0,0.0,0.0,180000.0,180000.0,30.0,2.0,3.0
15.0,1.0,32.0,0.0,0.0,700000.0,700000.0,45.0,2.0,3.0
15.0,2.0,66.0,2.0,26.0,200000.0,200000.0,30.0,2.0,1.0
15.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,43.0,2.0,21.0,300000.0,300000.0,48.0,2.0,2.0
15.0,2.0,62.0,2.0,30.0,360000.0,360000.0,45.0,2.0,3.0
15.0,1.0,59.0,2.0,27.0,180000.0,180000.0,40.0,2.0,3.0
15.0,2.0,69.0,0.0,0.0,275000.0,275000.0,60.0,2.0,2.0
15.0,2.0,43.0,0.0,0.0,800000.0,800000.0,45.0,2.0,3.0
15.0,1.0,36.0,1.0,33.0,1300000.0,1300000.0,94.0,2.0,3.0
15.0,2.0,30.0,1.0,28.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,63.0,2.0,26.0,200000.0,200000.0,20.0,2.0,2.0
15.0,2.0,29.0,2.0,20.0,100000.0,100000.0,12.0,2.0,3.0
15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,64.0,4.0,42.0,500000.0,500000.0,60.0,2.0,3.0
15.0,2.0,58.0,4.0,36.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,38.0,2.0,23.0,300000.0,300000.0,48.0,2.0,3.0
15.0,2.0,36.0,2.0,21.0,2200000.0,2200000.0,48.0,2.0,2.0
15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,50.0,3.0,21.0,330000.0,330000.0,38.0,2.0,3.0
15.0,1.0,29.0,0.0,0.0,400000.0,400000.0,25.0,2.0,3.0
15.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,36.0,3.0,21.0,180000.0,180000.0,25.0,2.0,2.0
15.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,66.0,4.0,24.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,49.0,0.0,0.0,200000.0,200000.0,30.0,2.0,2.0
15.0,1.0,39.0,1.0,17.0,400000.0,400000.0,45.0,2.0,2.0
15.0,1.0,27.0,0.0,0.0,1000000.0,1000000.0,45.0,2.0,3.0
15.0,2.0,71.0,3.0,27.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,44.0,0.0,0.0,1000000.0,1000000.0,45.0,2.0,3.0
15.0,1.0,43.0,0.0,0.0,350000.0,350000.0,45.0,2.0,2.0
15.0,2.0,55.0,2.0,37.0,350000.0,350000.0,45.0,2.0,3.0
15.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,98.0,3.0,33.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,53.0,0.0,0.0,1000000.0,1000000.0,48.0,2.0,3.0
15.0,2.0,47.0,0.0,0.0,1000000.0,1000000.0,48.0,2.0,3.0
15.0,2.0,53.0,0.0,0.0,250000.0,250000.0,48.0,2.0,2.0
15.0,2.0,58.0,4.0,15.0,270000.0,270000.0,45.0,2.0,1.0
15.0,2.0,55.0,4.0,21.0,270000.0,270000.0,45.0,2.0,1.0
15.0,2.0,54.0,3.0,17.0,270000.0,270000.0,45.0,2.0,2.0
15.0,1.0,26.0,1.0,21.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,74.0,1.0,34.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,87.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,40.0,0.0,0.0,1000000.0,1000000.0,10.0,2.0,3.0
15.0,1.0,57.0,2.0,22.0,800000.0,800000.0,80.0,1.0,3.0
15.0,2.0,70.0,0.0,0.0,800000.0,800000.0,10.0,2.0,3.0
15.0,2.0,94.0,4.0,24.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,80.0,2.0,25.0,380000.0,380000.0,45.0,2.0,1.0
15.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,60.0,3.0,26.0,400000.0,400000.0,72.0,2.0,2.0
15.0,1.0,75.0,3.0,25.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,74.0,3.0,24.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,50.0,5.0,18.0,180000.0,180000.0,48.0,2.0,2.0
15.0,2.0,22.0,2.0,20.0,200000.0,200000.0,48.0,2.0,2.0
15.0,2.0,17.0,9.0,15.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,95.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,70.0,3.0,22.0,290000.0,290000.0,45.0,2.0,1.0
15.0,1.0,23.0,0.0,0.0,300000.0,300000.0,50.0,2.0,3.0
15.0,2.0,72.0,2.0,34.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,43.0,2.0,25.0,150000.0,150000.0,24.0,1.0,2.0
15.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,51.0,4.0,15.0,1000000.0,1000000.0,10.0,2.0,2.0
15.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,38.0,4.0,22.0,480000.0,480000.0,48.0,2.0,2.0
15.0,2.0,34.0,4.0,18.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,59.0,4.0,25.0,950000.0,950000.0,45.0,2.0,2.0
15.0,2.0,62.0,4.0,22.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,37.0,3.0,28.0,400000.0,400000.0,45.0,2.0,3.0
15.0,2.0,31.0,3.0,20.0,250000.0,250000.0,45.0,2.0,3.0
15.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,56.0,2.0,29.0,270000.0,270000.0,44.0,2.0,2.0
15.0,1.0,69.0,2.0,34.0,200000.0,200000.0,60.0,2.0,2.0
15.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,89.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,82.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,62.0,1.0,21.0,180000.0,180000.0,40.0,2.0,2.0
15.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,60.0,0.0,0.0,200000.0,200000.0,50.0,2.0,2.0
15.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,48.0,1.0,17.0,150000.0,150000.0,20.0,2.0,1.0
15.0,2.0,58.0,3.0,24.0,400000.0,400000.0,48.0,2.0,3.0
15.0,1.0,58.0,3.0,24.0,400000.0,400000.0,48.0,2.0,2.0
15.0,2.0,25.0,1.0,18.0,180000.0,180000.0,16.0,2.0,3.0
15.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,48.0,7.0,20.0,263000.0,263000.0,40.0,2.0,1.0
15.0,2.0,64.0,7.0,36.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,70.0,2.0,31.0,200000.0,200000.0,30.0,2.0,2.0
15.0,2.0,69.0,3.0,25.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,34.0,0.0,0.0,700000.0,700000.0,45.0,2.0,3.0
15.0,2.0,64.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,66.0,2.0,25.0,125000.0,125000.0,22.0,2.0,2.0
15.0,1.0,60.0,3.0,28.0,350000.0,350000.0,25.0,2.0,3.0
15.0,2.0,60.0,3.0,28.0,350000.0,350000.0,25.0,2.0,3.0
15.0,1.0,45.0,1.0,25.0,100000.0,100000.0,25.0,2.0,1.0
15.0,2.0,33.0,1.0,20.0,80000.0,80000.0,15.0,2.0,1.0
15.0,2.0,78.0,2.0,42.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,36.0,0.0,0.0,535729.0,535729.0,30.0,2.0,3.0
15.0,1.0,28.0,0.0,0.0,203333.0,203333.0,44.0,2.0,3.0
15.0,1.0,46.0,3.0,27.0,650000.0,650000.0,45.0,2.0,2.0
15.0,2.0,57.0,3.0,18.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,28.0,1.0,99.0,200000.0,200000.0,35.0,2.0,2.0
15.0,2.0,27.0,1.0,99.0,251702.0,251702.0,45.0,2.0,2.0
15.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,41.0,3.0,21.0,70000.0,70000.0,12.0,2.0,2.0
15.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,27.0,1.0,22.0,80000.0,80000.0,15.0,2.0,3.0
15.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,25.0,1.0,22.0,700000.0,700000.0,48.0,2.0,2.0
15.0,2.0,36.0,1.0,33.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,35.0,0.0,0.0,200000.0,200000.0,20.0,2.0,2.0
15.0,2.0,47.0,2.0,29.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,40.0,1.0,30.0,310000.0,310000.0,40.0,2.0,1.0
15.0,1.0,43.0,2.0,28.0,500000.0,500000.0,45.0,2.0,3.0
15.0,2.0,43.0,2.0,30.0,300000.0,300000.0,45.0,2.0,3.0
15.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
