region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,48.0,3.0,23.0,80000.0,80000.0,45.0,2.0,1.0
10.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,46.0,4.0,22.0,500000.0,500000.0,45.0,2.0,1.0
10.0,2.0,30.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,64.0,2.0,31.0,225000.0,225000.0,45.0,2.0,1.0
10.0,2.0,54.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,29.0,99.0,0.0,225000.0,225000.0,45.0,2.0,2.0
10.0,1.0,36.0,4.0,25.0,300000.0,300000.0,45.0,2.0,2.0
10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,66.0,4.0,30.0,500000.0,500000.0,45.0,2.0,1.0
10.0,2.0,66.0,4.0,30.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,43.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,50.0,2.0,27.0,500000.0,500000.0,45.0,2.0,1.0
10.0,2.0,45.0,2.0,21.0,273000.0,273000.0,40.0,2.0,1.0
10.0,2.0,23.0,0.0,0.0,300000.0,300000.0,45.0,2.0,2.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,38.0,1.0,27.0,415000.0,415000.0,45.0,2.0,3.0
10.0,2.0,38.0,1.0,27.0,480000.0,480000.0,45.0,2.0,3.0
10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,55.0,12.0,29.0,270000.0,270000.0,45.0,2.0,2.0
10.0,1.0,51.0,1.0,36.0,60000.0,60000.0,30.0,2.0,1.0
10.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,40.0,2.0,30.0,350000.0,350000.0,45.0,2.0,1.0
10.0,2.0,35.0,2.0,25.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,64.0,1.0,21.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,81.0,3.0,37.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,75.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,43.0,99.0,0.0,300000.0,300000.0,45.0,2.0,1.0
10.0,1.0,52.0,2.0,29.0,250000.0,250000.0,30.0,2.0,1.0
10.0,2.0,48.0,2.0,24.0,272000.0,272000.0,45.0,2.0,2.0
10.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,69.0,3.0,26.0,367000.0,367000.0,45.0,2.0,1.0
10.0,2.0,60.0,3.0,19.0,287000.0,287000.0,45.0,2.0,1.0
10.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,43.0,2.0,26.0,370000.0,370000.0,45.0,2.0,2.0
10.0,2.0,41.0,2.0,24.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,48.0,3.0,25.0,500000.0,500000.0,45.0,2.0,1.0
10.0,2.0,44.0,3.0,19.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,23.0,0.0,0.0,300000.0,300000.0,45.0,2.0,2.0
10.0,1.0,51.0,2.0,25.0,250000.0,250000.0,45.0,2.0,1.0
10.0,2.0,52.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,44.0,0.0,0.0,200000.0,200000.0,40.0,2.0,2.0
10.0,2.0,49.0,1.0,17.0,0.0,0.0,40.0,2.0,1.0
10.0,1.0,54.0,3.0,21.0,380000.0,380000.0,45.0,2.0,1.0
10.0,2.0,49.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,32.0,0.0,0.0,300000.0,300000.0,45.0,2.0,2.0
10.0,1.0,71.0,4.0,26.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,66.0,4.0,21.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,75.0,5.0,24.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,66.0,5.0,16.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,54.0,3.0,29.0,200000.0,200000.0,40.0,2.0,1.0
10.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,52.0,3.0,19.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,51.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,49.0,3.0,26.0,700000.0,700000.0,45.0,2.0,2.0
10.0,2.0,33.0,3.0,17.0,150000.0,150000.0,20.0,2.0,1.0
10.0,1.0,82.0,7.0,32.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,38.0,3.0,20.0,850000.0,850000.0,45.0,2.0,2.0
10.0,2.0,37.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,68.0,9.0,15.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,67.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,54.0,3.0,28.0,200000.0,200000.0,84.0,2.0,1.0
10.0,2.0,47.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,51.0,4.0,22.0,300000.0,300000.0,30.0,2.0,1.0
10.0,2.0,46.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,79.0,2.0,32.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,84.0,2.0,37.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,43.0,0.0,0.0,250000.0,250000.0,15.0,2.0,2.0
10.0,1.0,64.0,4.0,26.0,270000.0,270000.0,44.0,2.0,1.0
10.0,2.0,56.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,24.0,0.0,0.0,350000.0,350000.0,44.0,2.0,3.0
10.0,1.0,77.0,2.0,32.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,47.0,0.0,0.0,380000.0,380000.0,45.0,2.0,1.0
10.0,2.0,65.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,43.0,3.0,23.0,1269231.0,1269231.0,44.0,2.0,3.0
10.0,2.0,43.0,1.0,34.0,625843.0,625843.0,44.0,2.0,3.0
10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,70.0,3.0,27.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,33.0,1.0,32.0,400000.0,400000.0,45.0,2.0,3.0
10.0,1.0,28.0,1.0,28.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,50.0,1.0,26.0,250000.0,250000.0,30.0,1.0,2.0
10.0,2.0,47.0,1.0,22.0,250000.0,250000.0,42.0,1.0,2.0
10.0,2.0,72.0,11.0,16.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,29.0,3.0,16.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,37.0,2.0,15.0,390000.0,390000.0,48.0,2.0,1.0
10.0,1.0,21.0,0.0,0.0,270000.0,270000.0,45.0,2.0,2.0
10.0,2.0,79.0,4.0,23.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,65.0,3.0,25.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,54.0,2.0,25.0,100000.0,100000.0,30.0,2.0,2.0
10.0,2.0,60.0,2.0,24.0,50000.0,50000.0,78.0,2.0,2.0
10.0,2.0,36.0,1.0,28.0,800000.0,800000.0,45.0,2.0,3.0
10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,52.0,3.0,32.0,1000000.0,1000000.0,46.0,2.0,3.0
10.0,2.0,52.0,3.0,32.0,1000000.0,1000000.0,45.0,2.0,3.0
10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,87.0,2.0,28.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,45.0,2.0,18.0,400000.0,400000.0,72.0,1.0,2.0
10.0,2.0,47.0,2.0,19.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,71.0,2.0,37.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,64.0,2.0,30.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,68.0,6.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,78.0,5.0,27.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,72.0,4.0,36.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,34.0,1.0,22.0,400000.0,400000.0,45.0,2.0,2.0
10.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,55.0,2.0,45.0,270000.0,270000.0,45.0,2.0,1.0
10.0,1.0,44.0,9.0,18.0,500000.0,500000.0,45.0,2.0,2.0
10.0,2.0,40.0,5.0,19.0,500000.0,500000.0,45.0,2.0,2.0
10.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,39.0,2.0,22.0,600000.0,600000.0,50.0,2.0,3.0
10.0,2.0,39.0,2.0,22.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,57.0,1.0,23.0,500000.0,500000.0,50.0,2.0,3.0
10.0,2.0,34.0,1.0,33.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,37.0,3.0,26.0,700000.0,700000.0,50.0,2.0,3.0
10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,31.0,2.0,24.0,1200000.0,1200000.0,48.0,2.0,3.0
10.0,2.0,24.0,2.0,21.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,86.0,10.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,56.0,2.0,34.0,500000.0,500000.0,45.0,2.0,2.0
10.0,2.0,46.0,2.0,25.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,88.0,9.0,26.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,65.0,2.0,22.0,600000.0,600000.0,44.0,2.0,2.0
10.0,2.0,62.0,2.0,23.0,270000.0,270000.0,44.0,2.0,2.0
10.0,2.0,32.0,2.0,19.0,300000.0,300000.0,44.0,2.0,2.0
10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,47.0,6.0,18.0,300000.0,300000.0,44.0,2.0,2.0
10.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,25.0,0.0,0.0,400000.0,400000.0,48.0,2.0,2.0
10.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,21.0,1.0,17.0,270000.0,270000.0,44.0,2.0,2.0
10.0,2.0,22.0,1.0,18.0,300000.0,300000.0,44.0,2.0,1.0
10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,39.0,2.0,26.0,683598.0,683598.0,44.0,2.0,3.0
10.0,2.0,40.0,2.0,27.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,40.0,2.0,28.0,900000.0,900000.0,56.0,1.0,2.0
10.0,2.0,42.0,3.0,19.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,23.0,0.0,0.0,0.0,0.0,36.0,2.0,2.0
10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,71.0,2.0,26.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,67.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,57.0,2.0,27.0,300000.0,300000.0,45.0,2.0,1.0
10.0,2.0,43.0,3.0,21.0,300000.0,300000.0,45.0,2.0,1.0
10.0,1.0,19.0,0.0,0.0,400000.0,400000.0,45.0,2.0,2.0
10.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,58.0,2.0,23.0,150000.0,150000.0,15.0,2.0,1.0
10.0,2.0,57.0,2.0,22.0,250000.0,250000.0,20.0,2.0,2.0
10.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,53.0,3.0,35.0,200000.0,200000.0,32.0,1.0,2.0
10.0,2.0,36.0,3.0,17.0,130000.0,130000.0,20.0,2.0,2.0
10.0,1.0,21.0,0.0,0.0,400000.0,400000.0,45.0,2.0,3.0
10.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,51.0,3.0,25.0,320000.0,320000.0,45.0,2.0,2.0
10.0,2.0,57.0,3.0,31.0,270000.0,270000.0,45.0,2.0,1.0
10.0,2.0,23.0,0.0,0.0,350000.0,350000.0,45.0,2.0,2.0
10.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,45.0,2.0,24.0,300000.0,300000.0,45.0,2.0,1.0
10.0,2.0,43.0,2.0,23.0,300000.0,300000.0,45.0,2.0,1.0
10.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,47.0,4.0,15.0,275000.0,275000.0,45.0,2.0,2.0
10.0,1.0,73.0,4.0,46.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,43.0,1.0,28.0,360000.0,360000.0,44.0,2.0,2.0
10.0,2.0,37.0,1.0,22.0,90000.0,90000.0,21.0,2.0,2.0
10.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,55.0,2.0,26.0,560000.0,560000.0,44.0,2.0,3.0
10.0,1.0,53.0,2.0,23.0,480000.0,480000.0,44.0,2.0,1.0
10.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,34.0,1.0,33.0,450000.0,450000.0,44.0,1.0,3.0
10.0,1.0,31.0,1.0,30.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,45.0,3.0,26.0,400000.0,400000.0,50.0,2.0,3.0
10.0,2.0,44.0,3.0,27.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,57.0,2.0,23.0,398975.0,398975.0,44.0,2.0,2.0
10.0,2.0,51.0,2.0,18.0,700000.0,700000.0,44.0,2.0,3.0
10.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,80.0,2.0,38.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,80.0,2.0,38.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,73.0,6.0,27.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,70.0,6.0,24.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,33.0,3.0,24.0,3500000.0,3500000.0,50.0,2.0,2.0
10.0,2.0,35.0,3.0,27.0,700000.0,700000.0,45.0,2.0,3.0
10.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,48.0,2.0,28.0,305000.0,305000.0,45.0,2.0,1.0
10.0,2.0,40.0,2.0,20.0,485000.0,485000.0,48.0,2.0,1.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,72.0,2.0,29.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,65.0,11.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,51.0,3.0,27.0,270000.0,270000.0,45.0,2.0,1.0
10.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1.0,47.0,3.0,16.0,550000.0,550000.0,44.0,2.0,2.0
10.0,2.0,37.0,3.0,26.0,260000.0,260000.0,44.0,1.0,2.0
10.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,34.0,2.0,20.0,330000.0,330000.0,45.0,2.0,2.0
10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,41.0,0.0,0.0,312000.0,312000.0,45.0,2.0,1.0
10.0,2.0,52.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,63.0,5.0,25.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,43.0,3.0,28.0,0.0,0.0,45.0,2.0,3.0
10.0,2.0,42.0,3.0,27.0,600000.0,600000.0,70.0,2.0,3.0
10.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,65.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,30.0,4.0,18.0,260000.0,260000.0,45.0,2.0,2.0
10.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,28.0,0.0,0.0,270000.0,270000.0,45.0,2.0,2.0
10.0,1.0,73.0,2.0,36.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,71.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,52.0,2.0,22.0,405000.0,405000.0,45.0,2.0,1.0
10.0,2.0,81.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,30.0,0.0,0.0,300000.0,300000.0,45.0,2.0,2.0
10.0,2.0,19.0,0.0,0.0,390000.0,390000.0,45.0,2.0,2.0
10.0,2.0,35.0,1.0,31.0,312000.0,312000.0,45.0,2.0,2.0
10.0,1.0,36.0,2.0,28.0,630000.0,630000.0,45.0,2.0,2.0
10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,58.0,3.0,25.0,300000.0,300000.0,40.0,2.0,1.0
10.0,2.0,58.0,3.0,25.0,200000.0,200000.0,48.0,2.0,2.0
10.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,94.0,5.0,29.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,59.0,4.0,19.0,350000.0,350000.0,45.0,2.0,1.0
10.0,1.0,40.0,2.0,20.0,350000.0,350000.0,45.0,2.0,2.0
10.0,1.0,50.0,3.0,36.0,400000.0,400000.0,98.0,2.0,1.0
10.0,2.0,32.0,3.0,18.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,82.0,3.0,33.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,49.0,1.0,40.0,350000.0,350000.0,30.0,2.0,2.0
10.0,2.0,35.0,1.0,30.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,47.0,1.0,37.0,150000.0,150000.0,40.0,2.0,1.0
10.0,2.0,80.0,4.0,21.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,77.0,6.0,24.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,65.0,6.0,18.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,34.0,1.0,24.0,425885.0,425885.0,45.0,2.0,2.0
10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,45.0,3.0,29.0,100000.0,100000.0,31.0,2.0,2.0
10.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,67.0,2.0,34.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,59.0,2.0,23.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,88.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,47.0,2.0,36.0,270000.0,270000.0,44.0,2.0,1.0
10.0,2.0,39.0,2.0,28.0,0.0,0.0,0.0,0.0,2.0
10.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,79.0,6.0,23.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,82.0,6.0,25.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,50.0,3.0,28.0,90000.0,90000.0,45.0,2.0,1.0
10.0,1.0,54.0,3.0,23.0,470000.0,470000.0,45.0,2.0,2.0
10.0,2.0,55.0,3.0,25.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,80.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,84.0,2.0,30.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,79.0,2.0,35.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,43.0,1.0,22.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,60.0,4.0,16.0,60000.0,60000.0,30.0,2.0,1.0
10.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,32.0,0.0,0.0,60000.0,60000.0,30.0,2.0,1.0
10.0,1.0,76.0,7.0,26.0,0.0,0.0,0.0,0.0,1.0
10.0,2.0,75.0,7.0,25.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,45.0,4.0,20.0,350000.0,350000.0,44.0,2.0,1.0
10.0,2.0,44.0,4.0,19.0,0.0,0.0,0.0,0.0,2.0
10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
